title,ingredients,step
"['Resep Roti Goreng Ayam Kecap, Camilan Sore Jadi Lebih Menyenangkan!']","['\n10\n\n                        lembar roti tawar                        \n', '\n200\n\n                        g dada ayam tanpa kulit, cincang                        \n', '\n2\n\n                        buah wortel, kupas dan potong dadu                        \n', '\n½\n\n                        buah bawang bombay, cincang halus                        \n', '\n2\n\n                        siung bawang putih, cincang halus                        \n', '\n1\n\n                        batang daun bawang, iris tipis                        \n', '\n¼\n\n                        sdt pala bubuk                        \n', '\n½\n\n                        sdt lada putih bubuk                        \n', '\n½\n\n                        sdt garam                        \n', '\n2\n\n                        sdt Royco Kaldu Ayam \n', '\n2\n\n                        sdm Bango Kecap Manis \n', '\n300\n\n                        ml minyak goreng                        \n', '\n400\n\n                        g tepung roti                        \n', '\n2\n\n                        butir putih telur                        \n']","['\nPanaskan minyak di wajan, lalu masukkan bawang bombay dan bawang putih. Tumis hingga harum dan matang, lalu masukkan daging ayam cincang, wortel, daun bawang, pala bubuk, merica, garam, Royco Kaldu Ayam, Bango Kecap Manis, dan air. Aduk hingga rata dan masak hingga matang.\n', '\nSiapkan roti tawar, masukkan isian, lalu tutup dengan lembaran roti lain. Ulangi hingga sisa bahan habis.\n', '\nCelup roti ke dalam putih telur, lalu gulingkan ke dalam tepung roti hingga merata di seluruh bagian.\n', '\nPanaskan minyak di wajan, lalu goreng roti hingga matang merata dan berwarna kecokelatan. Angkat dan tiriskan.\n']"
"['Resep Iga Sapi Goyang Lidah, Tambahkan Keseruan Santap Malam Bersama']","['\n1\n\n                        kg daging iga sapi, potong-potong                        \n', '\n500\n\n                        ml santan encer, dari 1/2 butir kelapa                        \n', '\n5\n\n                        sdm Bango Kecap Manis \n', '\n4\n\n                        buah cabai merah, buang biji, iris serong                        \n', '\n5\n\n                        sdm minyak                        \n', '\n10\n\n                        buah cabai merah keriting                        \n', '\n8\n\n                        butir bawang merah                        \n', '\n5\n\n                        siung bawang putih                        \n', '\n4\n\n                        butir kemiri, sangrai                        \n', '\n2\n\n                        cm lengkuas                        \n', '\n2\n\n                        sdt gula merah                        \n', '\n1\n\n                        sdt ketumbar butiran, sangrai                        \n', '\n1\n\n                        sdm asam jawa                        \n', '\n1\n\n                        sdt garam                        \n']","['\nDi dalam wadah, aduk rata iga sapi dengan Bango Kecap Manis dan berbagai bumbu halus. Diamkan selama 30 menit.\n\xa0\n', '\nPanaskan minyak di dalam wajan. Masukkan iga beserta bumbu rendamannya dan juga santan. Aduk rata. Masak hingga iga matang dan empuk.\n\xa0\n\xa0\n', '\nTambahkan cabai merah, masak hingga kuah mengental. Angkat.\n\xa0\n', '\nPanggang iga di atas bara api sambil sesekali diolesi kuah bumbu hingga berwarna kecokelatan. Angkat.\n\xa0\n', '\nSajikan segera ditemani nasi putih.\n']"
"['Resep Ayam Pop, Hidangan Legendaris Khas Minang']","['\n1\n\n                        ekor ayam pejantan, potong 6 bagian dan buang kulit                        \n', '\n500\n\n                        ml air kelapa muda                        \n', '\n5\n\n                        siung bawang putih, haluskan                        \n', '\n5\n\n                        cm jahe, haluskan                        \n', '\n1\n\n                        sdt Royco Kaldu Ayam \n', '\n½\n\n                        sdt lada putih bubuk                        \n', '\n1\n\n                        sdt garam                        \n', '\n350\n\n                        ml minyak sayur                        \n', '\n\n\n                        Tomat, iris                        \n', '\n\n\n                        Ketimun, iris                        \n', '\n\n\n                        Bawang merah goreng                        \n']","['\nLumuri ayam dengan jahe dan bawang putih yang sudah dihaluskan. Lalu tambahkan air kelapa muda, Royco Kaldu\nAyam dan lada putih bubuk. Diamkan selama 30\nmenit di dalam kulkas agar bumbu meresap.\n', '\nMasukkan daging ayam ke dalam dandang lalu kukus hingga matang.\n', '\nPanaskan minyak di dalam wajan. Goreng ayam yang sudah dikukus selama 1 menit. Angkat dan tiriskan.\n']"
"['Resep Tahu Isi Udang, Tambah Koleksi Hidangan Camilanmu di Rumah']","['\n10\n\n                        buah tahu Sumedang, goreng                        \n', '\n100\n\n                        g daging ayam giling                        \n', '\n100\n\n                        g udang, kupas, cacah                        \n', '\n½\n\n                        sdt Royco Kaldu Ayam \n', '\n1\n\n                        butir telur ayam                        \n', '\n100\n\n                        g tepung sagu                        \n', '\n1\n\n                        sdt garam                        \n', '\n½\n\n                        sdt merica putih bubuk                        \n', '\n½\n\n                        cangkir air                        \n', '\n\n\n                        minyak, untuk menggoreng                        \n']","['\nCampurkan ayam giling, udang cacah, garam, merica, telur, tepung sagu, dan air lalu aduk hingga merata. Tambahkan juga Royco Kaldu Ayam, aduk hingga merata.\n\xa0\n', '\nSetelah adonan tercampur, isikan adonan tersebut ke dalam tahu Sumedang.\n', '\nPanaskan wajan dan tambahkan minyak goreng. Masukkan tahu isi ke dalam minyak yang sudah panas, dan goreng tahu hingga matang kecokelatan.\n', '\nAngkat, dan sajikan panas-panas dengan saus sambal, saus tomat, dan mayonnaise.\n']"
"['Resep Ayam Masak Paprika, Sajian Segar untuk Makan Siang']","['\n200\n\n                        g dada ayam, iris tebal                        \n', '\n1\n\n                        paprika merah atau kuning, iris tipis                        \n', '\n½\n\n                        sdt garam                        \n', '\n½\n\n                        sdt lada putih bubuk                        \n', '\n4\n\n                        sdm minyak zaitun                        \n', '\n1\n\n                        g bawang bombay, cincang                        \n', '\n2\n\n                        siung bawang putih, cincang kasar                        \n', '\n1\n\n                        sdt Royco Kaldu Ayam \n', '\n100\n\n                        ml saus tomat                        \n', '\n100\n\n                        ml kaldu ayam cair                        \n', '\n1\n\n                        sdt basil kering                        \n', '\n1\n\n                        sdm kecap Inggris                        \n', '\n\n\n                        air jeruk nipis secukupnya                        \n']","['\nMasukkan ayam yang telah dipotong ke dalam wadah. Tambahkan garam dan merica, campurkan hingga rata. Diamkan selama 10-20 menit.\n', '\nTumis ayam menggunakan minyak zaitun hingga kecokelatan. Jangan dimasak terlalu kering. Angkat dan tiriskan.\n', '\nPanaskan minyak dengan api sedang, tumis bawang putih dan bawang bombay hingga harum.\n', '\nTambahkan Royco Kaldu Ayam, kaldu ayam cair, paprika, basil, saus tomat, dan kecap Inggris. Aduk hingga tercampur rata.\n', '\nMasak dengan api kecil kurang lebih selama lima menit hingga saus mengental.\n', '\nMasukkan daging ayam yang telah matang. Aduk hingga tercampur rata. Tambahkan perasan jeruk nipis. Koreksi rasa dengan garam dan gula, sesuai selera.\n', '\nAngkat dan sajikan bersama nasi hangat. Taburkan daung bawang untuk rasa yang lebih segar.\n']"
"['Resep Ravioli Goreng Isi Ayam, Camilan Renyah Saat Santai']","['\n500\n\n                        g daging ayam cincang                        \n', '\n50\n\n                        g jamur tiram, cincang halus                        \n', '\n1\n\n                        bungkus Royco Sup Krim Ayam \n', '\n250\n\n                        ml air                        \n', '\n½\n\n                        butir bawang bombay, cincang halus                        \n', '\n3\n\n                        siung bawang putih, cincang halus                        \n', '\n2\n\n                        batang daun timi, petiki daunnya                        \n', '\n3\n\n                        sdm minyak, untuk menumis                        \n', '\n1\n\n                        sdm keju parmesan bubuk                        \n', '\n25\n\n                        lembar kulit pangsit                        \n', '\n100\n\n                        ml kecap asin                        \n', '\n10\n\n                        ml minyak cabai                        \n', '\n25\n\n                        ml cuka beras                        \n', '\n2\n\n                        batang daun parsley, cincang halus                        \n', '\n250\n\n                        ml minyak, untuk menggoreng                        \n']","['\nTuang air ke dalam panci. Masukkan Royco Sup Krim Ayam. Aduk rata hingga matang. Sisihkan.\n', '\nPanaskan minyak di wajan. Masukkan bawang bombay, bawang putih, jamur tiram, merica. Tumis hingga harum. Sisihkan.\n', '\nDalam sebuah wadah, masukkan daging ayam cincang. Masukkan tumisan jamur. Tambahkan sup krim. Aduk rata. Sisihkan.\n', '\nSiapkan kulit pangsit. Isi dengan adonan yang sudah jadi. Rekatkan kulit pangsit dengan air. Bentuk ravioli. Sisihkan.\n', '\nPanaskan minyak dalam panci. Masukkan ravioli. Goreng hingga matang. Sisihkan.\n', '\nDalam mangkuk, masukkan kecap asin, minyak cabai, cuka beras, dan daun parsley. Aduk rata, tuang ke mangkuk saji.\n', '\nSajikan ravioli goreng isi ayam dengan saus pendamping.\n']"
"['Resep Udang Manis Pedas, Jadikan Sebagai Favorit Baru di Rumah']","['\n½\n\n                        kg udang                        \n', '\n2\n\n                        buah tahu, goreng sebentar                        \n', '\n3\n\n                        sdm Bango Kecap Manis \n', '\n2\n\n                        sdm margarin                        \n', '\n1\n\n                        sdm bawang merah, iris                        \n', '\n5\n\n                        sdm saus sambal Jawara                        \n', '\n100\n\n                        gr tomat, potong kasar                        \n', '\n100\n\n                        gr bawang bombay, potong kasar                        \n', '\n\n\n                        pete, secukupnya sesuai selera                        \n', '\n\n\n                        minyak, untuk menggoreng                        \n', '\n1\n\n                        sdm bawang putih, iris                        \n', '\n¼\n\n                        sdt merica putih bubuk                        \n', '\n1\n\n                        sdm garam                        \n']","['\nBersihkan udang tanpa dikupas kulitnya. Goreng hingga berubah warna lalu sisihkan.\n', '\nTumis bumbu halus dan bawang merah menggunakan margarin hingga harum.\n', '\nTambahkan bawang bombay, saus sambal Jawara, tomat, dan Bango Kecap Manis. Tuangkan air sedikit demi sedikit. Masak hingga mendidih.\n', '\nMasukkan udang yang telah digoreng, tahu, dan pete. Masak hingga kuah menyurut.\n', '\nAngkat dan hidangkan bersama nasi hangat.\n']"
"['Resep Bakwan Tahu, Camilan Seru untuk Berakhir Pekan']","['\n400\n\n                        g tahu kuning, haluskan                        \n', '\n100\n\n                        g tepung terigu                        \n', '\n3\n\n                        butir telur ayam ukuran sedang                        \n', '\n100\n\n                        g udang kupas                        \n', '\n50\n\n                        g tauge                        \n', '\n¼\n\n                        sdt lada putih bubuk                        \n', '\n¼\n\n                        sdt garam                        \n', '\n1\n\n                        sachet Royco Kaldu Ayam \n', '\n1\n\n                        sdm daun bawang, iris                        \n', '\n\n\n                        minya goreng secukupnya                        \n']","['\nCampurkan tahu yang sudah dihaluskan dengan terigu dan telur. Aduk hingga merata.\n', '\nTambahkan Royco Kaldu Ayam, garam, lada putih, daun bawang, dan udang kupas. Aduk kembali hingga rata.\n', '\nPanaskan minyak goreng. Ambil satu sendok makan adonan bakwan, goreng hingga warnanya keemasan. Ulangi langkah yang sama.\n', '\nAngkat, dan sajikan dengan saus sambal Jawara yang memiliki pilihan level pedas sesuai seleramu.\n']"
"['Resep Be Sapi Base Manis, Sajian Unik dari Pulau Dewata']","['\n500\n\n                        g daging sapi, iris tebal 1/2 cm                        \n', '\n2\n\n                        buah cabai merah, iris tipis                        \n', '\n2\n\n                        buah cabai hijau, iris tipis                        \n', '\n3\n\n                        sdm Bango Kecap Manis \n', '\n1\n\n                        sdm kecap asin                        \n', '\n3\n\n                        cm jahe, memarkan                        \n', '\n¼\n\n                        sdt garam                        \n', '\n3\n\n                        sdm minyak, untuk menumis                        \n', '\n400\n\n                        ml air                        \n', '\n3\n\n                        siung bawang putih                        \n', '\n9\n\n                        butir bawang merah                        \n']","['\nTumis bumbu halus sampai harum. Tambahkan jahe, cabai merah dan cabai hijau. Aduk hingga layu.\n', '\nTambahkan daging sapi. Aduk sampai berubah warna.\n', '\nMasukkan Bango Kecap Manis, kecap asin, dan garam. Aduk rata.\n', '\nTuang air. Masak di atas api kecil hingga matang dan bumbu meresap. Sajikan.\n']"
"['Resep Semur Tempe Rawit Kemangi, Lauk Sederhana Penuh Kenikmatan']","['\n300\n\n                        g tempe, potong dadu 1 cm, goreng hingga matang kecokelatan                        \n', '\n100\n\n                        g kacang panjang, potong 3 cm                        \n', '\n1\n\n                        buah tomat, potong dadu kecil                        \n', '\n2\n\n                        lembar daun salam                        \n', '\n500\n\n                        ml air                        \n', '\n6\n\n                        sdm Bango Kecap Manis \n', '\n1\n\n                        sdt garam                        \n', '\n½\n\n                        sdt pala bubuk                        \n', '\n20\n\n                        g daun kemangi, petiki                        \n', '\n5\n\n                        buah cabai rawit hijau, iris tipis                        \n', '\n2\n\n                        sdm minyak, untuk menumis                        \n', '\n5\n\n                        butir bawang merah                        \n', '\n3\n\n                        siung bawang putih                        \n', '\n½\n\n                        sdt ketumbar                        \n', '\n¼\n\n                        sdt jintan                        \n']","['\nPanaskan minyak, tumis bumbu halus, daun salam, dan tomat hingga harum.\n', '\nMasukkan tempe, air, Bango Kecap Manis, garam, dan pala bubuk. Aduk rata. Masak hingga mendidih.\n', '\nMasukkan kacang panjang, aduk rata.\n', '\nTambahkan kemangi dan cabai rawit, masak hingga bumbu menyerap. Angkat dan sajikan.\n']"
"['Resep Quinoa dan Couscous, Menu Diet Sehat Minggu Ini']","['\n1\n\n                        buah zucchini                        \n', '\n100\n\n                        g couscous                        \n', '\n35\n\n                        g jali-jali                        \n', '\n25\n\n                        g quinoa merah                        \n', '\n60\n\n                        g chickpea kalengan, bilas, tiriskan                        \n', '\n1\n\n                        buah bawang bombay, potong kotak                        \n', '\n2\n\n                        sdm minyak zaitun                        \n', '\n1\n\n                        sdt Royco Kaldu Ayam \n', '\n80\n\n                        g salad wakame siap pakai                        \n', '\n\n\n                        mustard                        \n', '\n\n\n                        wasabi                        \n', '\n\n\n                        Jahe iris                        \n', '\n\n\n                        Peterseli cincang                        \n']","['\nBelah zucchini menjadi dua bagian. Parut halus satu bagian, lalu aduk rata bersama Royco Kaldu Ayam. Sisihkan. Potong dadu sisa potongan zucchini. Sisihkan.\n', '\nRebus couscous, quinoa, jali-jali, dan chickpea dalam air mendidih hingga matang. Angkat.\n', '\nAduk rata bersama chickpea. Sisihkan.\n', '\nPanaskan minyak zaitun, tumis bawang bombay di atas api kecil selama 7 menit. Masukkan potongan zucchini, masak selama 4-5 menit. Angkat. Aduk rata bersama zucchini halus. Sisihkan selama 3-4 menit.\n', '\nAduk rata semua bahan bersama mustard dan wasabi. Sajikan dengan taburan jahe dan peterseli cincang.\n']"
['Cara Membuat Semur Ayam Bangka untuk Sajian Sehari-Hari'],"['\n1\n\n                        ekor ayam kampung, potong 8 bagian                        \n', '\n6\n\n                        butir bawang merah, cincang                        \n', '\n4\n\n                        siung bawang putih, iris                        \n', '\n1\n\n                        buah tomat, potong-potong                        \n', '\n3\n\n                        buah cabai merah, buang biji, iris memanjang, tumis, tiriskan                        \n', '\n7\n\n                        sdm Bango Kecap Manis \n', '\n½\n\n                        sdt pala bubuk                        \n', '\n1\n\n                        buah bunga pala                        \n', '\n6\n\n                        butir cengkih                        \n', '\n2\n\n                        sdt garam                        \n', '\n¼\n\n                        sdt merica putih bubuk                        \n', '\n1.5\n\n                        L air                        \n', '\n1\n\n                        sdm minyak, untuk menumis                        \n']","['\nRebus ayam dengan 1,5 L air hingga matang dan empuk. Tiriskan ayam, sisihkan kaldunya sebanyak 1 L.\n', '\nTumis bawang merah dan bawang putih hingga harum di dalam panci. Masukkan tomat, aduk rata.\n', '\nMasukkan ayam, Bango Kecap Manis, pala, bunga pala, cengkih, garam, dan merica. Aduk rata.\n', '\nTuang kaldu dan didihkan. Kecilkan api lalu lanjutkan memasak hingga kuah menyusut dan bumbu meresap.\n', '\nTaburi dengan cabai merah yang telah ditumis. Angkat.\n', '\nSajikan segera ditemani nasi putih.\n']"
"['Resep Ayam Masak Kecap Gurih, Pendamping Ideal untuk Sepiring Nasi']","['\n500\n\n                        g fillet daging ayam, iris memanjang                        \n', '\n4\n\n                        sdm Bango Kecap Manis Light \n', '\n2\n\n                        siung bawang putih, cincang halus                        \n', '\n½\n\n                        buah bawang bombay, iris memanjang                        \n', '\n1\n\n                        batang daun bawang, iris tipis                        \n', '\n1\n\n                        cm jahe, iris tipis                        \n', '\n½\n\n                        sdt merica bubuk                        \n', '\n1\n\n                        sdt garam                        \n', '\n1\n\n                        sdt Royco Kaldu Ayam \n', '\n200\n\n                        ml air                        \n', '\n3\n\n                        sdm minyak, untuk menumis                        \n', '\n1\n\n                        sdm margarin                        \n']","['\nPanaskan minyak dan margarin, tumis bawang putih dan jahe hingga harum.\n', '\nTambahkan bawang bombay, aduk rata.\n', '\nMasukkan ayam, aduk rata. Masak hingga ayam tidak berair.\n', '\nMasukkan Bango Kecap Manis Light, garam, merica, Royco Kaldu Ayam, dan air. Masak hingga kuah mengental.\n', '\nTambahkan daun bawang, aduk rata.\n', '\nAngkat dan sajikan.\n']"
"['Resep Pempek Udang Saus Bumbu Rujak, Kejutan Seru untuk Keluarga']","['\n500\n\n                        g udang jerbung, kupas dan cincang halus                        \n', '\n150\n\n                        ml air es                        \n', '\n3\n\n                        sdt garam                        \n', '\n300\n\n                        g tepung kanji                        \n', '\n\n\n                        air untuk merebus                        \n', '\n1\n\n                        sdm minyak sayur                        \n', '\n2\n\n                        buah mentimun, iris kecil                        \n', '\n300\n\n                        ml minyak sayur                        \n', '\n1\n\n                        bungkus Royco Bumbu Siap Pakai Ayam Bumbu Rujak \n', '\n400\n\n                        ml air                        \n', '\n2\n\n                        sdt gula pasir                        \n']","['\nCampur udang, air es, dan garam, aduk rata. Tambahkan tepung kanji dan terigu sedikit demi sedikit, aduk perlahan dengan tangan hingga kalis. Sisihkan.\n', '\nAmbil sedikit adonan, bentuk melonjong. Ulangi hingga semua adonan habis.\n', '\nDidihkan air di dalam panci, masukkan minyak. Rebus pempek udang hingga pempek mengapung. Angkat, tiriskan, biarkan dingin.\n', '\nPanaskan minyak di dalam wajan, goreng pempek hingga kuning kecokelatan. Angkat, tiriskan, dan potong-potong.\n', '\nCara membuat kuah cuko: Rebus air hingga mendidih. Masukkan Royco Bumbu Siap Pakai Ayam Bumbu Rujak dan gula. Aduk hingga tercampur rata.\n', '\nSajikan pempek dengan potongan mentimun dan kuah cuko ayam rujak.\n']"
